           1           1   0.00000000       0.00000000    
           1           2   0.00000000       0.00000000    
           1           3   0.00000000       0.00000000    
           1           4   0.00000000       0.00000000    
           1           5   0.00000000       0.00000000    
           1           6   0.00000000       0.00000000    
           1           7   0.00000000       0.00000000    
           1           8   0.00000000       0.00000000    
           1           9   0.00000000       0.00000000    
           1          10   0.00000000       0.00000000    
           1          11   0.00000000       0.00000000    
           1          12   0.00000000       0.00000000    
           1          13   0.00000000       0.00000000    
           1          14   0.00000000       0.00000000    
           1          15   0.00000000       0.00000000    
           1          16   0.00000000       0.00000000    
           1          17   0.00000000       0.00000000    
           1          18  -8.14043873E-16   0.00000000    
           1          19  -3.51614441E-12   1.80190245E-16
           1          20  -1.84454296E-09   2.02200195E-13
           1          21  -2.70960641E-07   4.82929460E-11
           1          22  -1.42405879E-05   3.73237619E-09
           1          23  -2.95861333E-04   1.09234506E-07
           1          24  -2.57609761E-03   1.31375486E-06
           1          25  -1.03958864E-02   7.13990221E-06
           1          26  -2.39074193E-02   2.09298069E-05
           1          27  -3.88813056E-02   4.08062187E-05
           1          28  -5.11110835E-02   6.09184317E-05
           1          29  -5.86453415E-02   7.54213761E-05
           1          30  -6.11402318E-02   8.06500029E-05
           1          31  -5.86453527E-02   7.54213834E-05
           1          32  -5.11110872E-02   6.09184390E-05
           1          33  -3.88813019E-02   4.08062187E-05
           1          34  -2.39074174E-02   2.09298069E-05
           1          35  -1.03958854E-02   7.13990175E-06
           1          36  -2.57609785E-03   1.31375486E-06
           1          37  -2.95861275E-04   1.09234520E-07
           1          38  -1.42405861E-05   3.73237707E-09
           1          39  -2.70960726E-07   4.82929530E-11
           1          40  -1.84454318E-09   2.02200209E-13
           1          41  -3.51614441E-12   1.80190272E-16
           1          42  -8.14043873E-16   0.00000000    
           1          43   0.00000000       0.00000000    
           1          44   0.00000000       0.00000000    
           1          45   0.00000000       0.00000000    
           1          46   0.00000000       0.00000000    
           1          47   0.00000000       0.00000000    
           1          48   0.00000000       0.00000000    
           1          49   0.00000000       0.00000000    
           1          50   0.00000000       0.00000000    
           2           1   0.00000000       0.00000000    
           2           2   0.00000000       0.00000000    
           2           3   0.00000000       0.00000000    
           2           4   0.00000000       0.00000000    
           2           5   0.00000000       0.00000000    
           2           6   0.00000000       0.00000000    
           2           7   0.00000000       0.00000000    
           2           8   0.00000000       0.00000000    
           2           9   0.00000000       0.00000000    
           2          10   0.00000000       0.00000000    
           2          11   0.00000000       0.00000000    
           2          12   0.00000000       0.00000000    
           2          13   0.00000000       0.00000000    
           2          14   0.00000000       0.00000000    
           2          15   0.00000000       0.00000000    
           2          16   0.00000000       0.00000000    
           2          17  -6.33701876E-16   0.00000000    
